"","Date","Hobo","Max","Min","Mean"
"1",2014-12-20,"12b",14.074,13.882,13.893
"2",2014-12-20,"12a",14.146,13.858,13.907
"3",2014-12-20,"13a",14.074,13.834,13.861
"4",2014-12-21,"12b",14.05,13.858,13.942
"5",2014-12-21,"12a",14.05,13.834,13.968
"6",2014-12-21,"13a",14.026,13.81,13.917
"7",2014-12-22,"12b",13.978,13.618,13.873
"8",2014-12-22,"12a",13.978,13.618,13.872
"9",2014-12-22,"13a",13.882,13.618,13.844
"10",2014-12-23,"12b",13.882,13.522,13.764
"11",2014-12-23,"12a",13.882,13.449,13.77
"12",2014-12-23,"13a",13.858,13.473,13.731
"13",2014-12-24,"12b",13.738,13.305,13.6026666666667
"14",2014-12-24,"12a",13.738,13.305,13.5885833333333
"15",2014-12-24,"13a",13.69,13.329,13.5855833333333
"16",2014-12-25,"12b",13.738,13.209,13.4714166666667
"17",2014-12-25,"12a",13.738,13.209,13.4624166666667
"18",2014-12-25,"13a",13.69,13.209,13.453375
"19",2014-12-26,"12b",13.882,13.281,13.479375
"20",2014-12-26,"12a",13.906,13.281,13.475375
"21",2014-12-26,"13a",13.858,13.305,13.4673333333333
"22",2014-12-27,"12b",13.954,13.305,13.5494583333333
"23",2014-12-27,"12a",13.954,13.305,13.5434166666667
"24",2014-12-27,"13a",13.954,13.329,13.5424583333333
"25",2014-12-28,"12b",13.81,13.425,13.6116666666667
"26",2014-12-28,"12a",13.81,13.425,13.6207083333333
"27",2014-12-28,"13a",13.786,13.425,13.6046666666667
"28",2014-12-29,"12b",14.314,13.064,13.513375
"29",2014-12-29,"12a",14.337,13.04,13.4943333333333
"30",2014-12-29,"13a",14.266,13.04,13.5034166666667
"31",2014-12-30,"12b",14.218,13.882,13.975875
"32",2014-12-30,"12a",14.218,13.882,14.0139166666667
"33",2014-12-30,"13a",14.218,13.882,13.9709166666667
"34",2014-12-31,"12b",14.433,14.074,14.125
"35",2014-12-31,"12a",14.433,14.074,14.133
"36",2014-12-31,"13a",14.409,14.098,14.122
"37",2015-01-01,"12b",14.385,14.026,14.1907916666667
"38",2015-01-01,"12a",14.385,14.05,14.1937916666667
"39",2015-01-01,"13a",14.314,14.05,14.1918333333333
"40",2015-01-02,"12b",14.409,14.05,14.177875
"41",2015-01-02,"12a",14.457,14.05,14.180875
"42",2015-01-02,"13a",14.385,14.074,14.172
"43",2015-01-03,"12b",14.361,14.098,14.2117916666667
"44",2015-01-03,"12a",14.385,14.098,14.2227916666667
"45",2015-01-03,"13a",14.337,14.122,14.2128333333333
"46",2015-01-04,"12b",14.481,13.954,14.234875
"47",2015-01-04,"12a",14.481,13.93,14.2387916666667
"48",2015-01-04,"13a",14.457,13.93,14.2299166666667
"49",2015-01-05,"12b",14.242,13.81,14.10875
"50",2015-01-05,"12a",14.266,13.786,14.09575
"51",2015-01-05,"13a",14.218,13.834,14.09675
"52",2015-01-06,"12b",14.29,13.834,14.023
"53",2015-01-06,"12a",14.314,13.834,14.019
"54",2015-01-06,"13a",14.242,13.834,14.013
"55",2015-01-07,"12b",14.266,13.858,14.057
"56",2015-01-07,"12a",14.242,13.858,14.06
"57",2015-01-07,"13a",14.242,13.882,14.044
"58",2015-01-08,"12b",14.361,14.002,14.081
"59",2015-01-08,"12a",14.337,13.978,14.086
"60",2015-01-08,"13a",14.314,14.002,14.066
"61",2015-01-09,"12b",14.529,14.17,14.238875
"62",2015-01-09,"12a",14.529,14.146,14.2419583333333
"63",2015-01-09,"13a",14.529,14.146,14.21
"64",2015-01-10,"12b",14.433,14.074,14.2895416666667
"65",2015-01-10,"12a",14.481,14.074,14.2845833333333
"66",2015-01-10,"13a",14.409,14.05,14.258625
"67",2015-01-11,"12b",14.385,14.002,14.2037916666667
"68",2015-01-11,"12a",14.409,14.002,14.21075
"69",2015-01-11,"13a",14.409,14.002,14.1977916666667
"70",2015-01-12,"12b",21.509,14.026,14.2009166666667
"71",2015-01-12,"12a",22.058,14.002,14.195875
"72",2015-01-12,"13a",21.891,14.026,14.1829583333333
